Data	Dia	Atividade	Envolvidos (CC)	Executor (UFFS)
Agosto				
7	Qua	Reunião colegiado	Colegiado	
9	Sex	Palestra: O rei das derivadas	NDE	
17 a 30	Sáb	Preenchimento e aprovação dos planos de ensino	Professores e Colegiado	Docentes
16 a 24	-	Período para realização das formaturas dos concluintes 2019.1 dos cursos avaliados pelo ENADE 2019.		Campus
19 a 23	-	Semana de aprimoramento CC (Visitação ao Data Center da UFFS)	Alunos e professores	
19	Seg	Reunião NDE	NDE	
20	Ter	6a Sessão - Conselho de Campus (Aud. Biblioteca)	Coordenação	
22	Qui	Reunião forum de gestão (14h, Aud. Bloco dos Professores)	Coordenação	
26	Seg	Reunião do Colegiado (16h)		
26 a 28/9	-	Período para realização das formaturas dos concluintes 2019.1 dos cursos não avaliados pelo ENADE 2019.		Campus
29	Qui	CC Bit Party (a partir das 18:30, Quiosque de Cultura UFFS)	Alunos e professores	
30	Sex	Formatura Ciência da Computação (16h, Auditório do Bloco B)	Alunos e professores	
Setembro				
5	Qui	Reunião formativa sobre aprendizagem de indivíduos com Sindrome de Down	Professores	NAP
7		 Independência do Brasil – Feriado Nacional.		
2 a 6	-	Semana de aprimoramento CC (Oficina de Linux)	Alunos e professores	
9 a 26	-	Período para solicitação de validação de atividades como ACC – Atividades Curriculares Complementares, na Secretaria Acadêmica.	Alunos	
28/08 a 6/9	-	Período para solicitação de exame de suficiência, na Secretaria Acadêmica.	Alunos	
2/9 a 18/10	-	Período para definição de: - Componentes curriculares a serem ofertados em 2020.1; - Distribuição de aulas e elaboração de horários para 2020.1.	Coordenação	
9	Seg	Reunião NDE - Sala 101 - Bloco dos Professores	NDE	
11	Qua	Reunião colegiado - Sala 207 - Bloco dos Professores	Colegiado	
12	Qui	Reunião forum de gestão (14h, Aud. Bloco dos Professores)	Coordenação	
13	Sex	Data limite para o trancamento de matrícula dos alunos regulares, na Secretaria Acadêmica.	Alunos	
14	Sab	Sub-regional (Maratona de Programção) - Passo Fundo / RS	Alunos e professores	
15	Dom	Aniversário da UFFS.	Alunos, professores e TAEs	
